1470757, 73
1473444, 2
1473476, 4
1473544, 4
1473547, 4
1473554, 1
1473579, 1
1473586, 25
1473633, 1
1473664, 1
1473666, 3
1473672, 11
1473747, 1
1473756, 1
1473769, 20
1473849, 4
1473859, 15
1473868, 1
1473876, 9
1473877, 1
1473886, 1
1473913, 1
1473986, 1
1473988, 1
1474010, 1
1474014, 1
1474015, 1
1474040, 4
1474041, 39
1474043, 1
1474044, 1
1474046, 1
1474048, 1
1474056, 5
1474058, 1
1474062, 2
1474063, 1
1474081, 1
1474083, 1
1474093, 88
1474101, 1
1474103, 3
1474113, 1
1474126, 4
1474127, 1
1474147, 3
1474148, 2
1474151, 8
1474158, 1
1474167, 2
1474186, 2
1474202, 2
1474220, 2
1474227, 2
1474230, 1
1474245, 1
1474291, 1
1474292, 1
1474323, 2
1474334, 1
1474415, 7
1474416, 1
1474417, 2
1474421, 1
1474427, 1
1474453, 1
1474459, 1
1474464, 1
1474478, 1
1474504, 1
1474518, 1
1474535, 1
1474604, 1
1474610, 1
1474615, 1
1474616, 14
1474640, 1
1474674, 61
1474686, 4
1474693, 1
1474695, 1
1474707, 20
1474709, 4
1474723, 1
1474724, 1
1474742, 10
1474749, 3
1474750, 1
1474751, 1
1474758, 1
1474763, 2
1474764, 2
1474769, 1
1474773, 1
1474780, 1
1474781, 20
1474792, 1
1474794, 7
1474804, 1
1474829, 21
1474863, 1
1474867, 1
1474890, 2
1474923, 8
1474992, 1
1475009, 2
1475016, 93
1475017, 1
1475042, 2
1475048, 7
1475049, 4
1475103, 1
1475118, 1
1475120, 7
1475142, 1
1475184, 2
1475199, 2
1475206, 4
1475207, 2
1475216, 2
1475227, 72
1475239, 2
1475272, 8
1475273, 2
1475275, 10
1475285, 2
1475294, 2
1475296, 3
1475364, 2
1475366, 2
1475370, 2
1475418, 2
1475425, 2
1475433, 2
1475437, 5
1475439, 2
1475451, 1
1475465, 1
1475483, 1
1475505, 1
1475506, 1
1475522, 3
1475530, 2
1475531, 1
1475533, 1
1475584, 2
1475601, 23
1475638, 1
1475667, 1
1475668, 1
1475685, 1
1475725, 1
1475736, 2
1475745, 1
1475759, 1
1475766, 1
1475771, 1
1475782, 109
1475784, 1
1475812, 4
1475819, 1
1475830, 1
1475845, 1
1475846, 1
1475847, 18
1475853, 1
1475888, 1
1475897, 2
1475907, 5
1475909, 73
1475923, 2
1475945, 2
1475957, 1
1475958, 1
1475963, 2
1475965, 1
1475979, 38
1475981, 2
1476060, 2
1476073, 3
1476095, 6
1476129, 6
1476149, 16
1476163, 3
1476167, 2
1476170, 2
1476171, 3
1476216, 1
1476229, 1
1476255, 1
1476287, 1
1476303, 1
1476391, 1
1476394, 13
1476399, 1
1476400, 1
1476404, 2
1476429, 2
1476430, 1
1476464, 1
1476472, 1
1476487, 1
1476490, 1
1476494, 1
1476523, 1
1476575, 1
1476588, 1
1476601, 1
1476618, 1
1476633, 1
1476671, 1
1476690, 1
1476703, 1
1476722, 1
1476724, 9
1476746, 1
1476780, 1
1476791, 1
1476794, 1
1476814, 1
1476817, 1
1476822, 1
